"Model","Mean_Loss_Diff","Frac_Better_Than_Benchmark","T_Stat","P_Value","P_Value_Boot","Significant","Significant_Boot","Loss_Measure"
"BDMM-SS","0.160084","0.612","4.5092","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"DMA","0.158301","0.636","4.2443","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"BDMM-K","0.147845","0.624","4.1018","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"DMA-K","0.144371","0.630","3.7915","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"BDMM-NR","0.142409","0.636","4.0103","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"B-LASSO","0.141638","0.624","3.6488","< 0.001","0.005",TRUE,TRUE,"MASE"
"B-RIDGE","0.135499","0.582","3.6015","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"BMA","0.128225","0.612","3.3093","0.001","0.002",TRUE,TRUE,"MASE"
"DMS","0.127108","0.624","3.5910","< 0.001","< 0.001",TRUE,TRUE,"MASE"
"BMS","0.098908","0.570","2.6162","0.010","0.011",TRUE,TRUE,"MASE"
"TVP-K","0.061951","0.552","1.3786","0.170","0.181",FALSE,FALSE,"MASE"
"TVP-REG","0.053128","0.485","1.1753","0.242","0.282",FALSE,FALSE,"MASE"
"Lin_reg","-0.025444","0.461","-0.4757","0.635","0.613",FALSE,FALSE,"MASE"
